epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,198.517,1.0749,0.66274,1.06951,0.92026,0.73438,0.8368,0.45178,1.61421,0.98956,1.40971,0.0012773,0.0012773,0.0012773
75,201.089,1.0558,0.6141,1.04547,0.86282,0.71875,0.79535,0.44511,1.57016,0.96571,1.3925,0.0012674,0.0012674,0.0012674
76,203.759,1.03254,0.63976,1.03934,0.77869,0.75,0.81037,0.4171,1.65281,1.03834,1.47551,0.0012575,0.0012575,0.0012575
77,206.381,0.97024,0.63538,1.03199,0.83415,0.75,0.83878,0.42212,1.57587,0.90949,1.45136,0.0012476,0.0012476,0.0012476
78,208.969,0.93172,0.60498,1.02078,0.85015,0.82812,0.84952,0.42078,1.65573,0.93176,1.4641,0.0012377,0.0012377,0.0012377
79,211.547,0.96417,0.62948,1.00401,0.7436,0.8125,0.84129,0.43158,1.62232,0.94707,1.45987,0.0012278,0.0012278,0.0012278
80,214.178,0.95304,0.59796,1.02531,0.81021,0.73374,0.78047,0.39448,1.7465,1.02869,1.48083,0.0012179,0.0012179,0.0012179
81,216.773,0.98527,0.5991,1.01516,0.75686,0.82812,0.81038,0.39248,1.79747,0.94504,1.4937,0.001208,0.001208,0.001208
82,219.451,0.93457,0.62412,1.00614,0.86504,0.67188,0.77747,0.40924,1.6747,1.0281,1.4591,0.0011981,0.0011981,0.0011981
83,222.062,0.99178,0.63195,1.02176,0.7348,0.8125,0.8096,0.45255,1.57952,0.96937,1.40455,0.0011882,0.0011882,0.0011882
84,224.731,1.03724,0.65318,1.04073,0.78046,0.76562,0.81502,0.44816,1.5728,0.9549,1.39613,0.0011783,0.0011783,0.0011783
85,227.49,0.97634,0.62107,1.05098,0.76944,0.78125,0.83128,0.46054,1.62447,0.92118,1.38984,0.0011684,0.0011684,0.0011684
86,230.133,1.0005,0.61887,1.03576,0.71785,0.85938,0.80984,0.45687,1.55799,0.94364,1.40704,0.0011585,0.0011585,0.0011585
87,232.731,1.01123,0.62489,0.99711,0.83368,0.70312,0.78993,0.4237,1.67371,1.01519,1.43053,0.0011486,0.0011486,0.0011486
88,235.365,1.03096,0.62106,1.01426,0.76291,0.80449,0.80921,0.40184,1.73415,0.9232,1.50447,0.0011387,0.0011387,0.0011387
89,237.974,0.91517,0.59548,1.00672,0.81022,0.8005,0.79578,0.40955,1.66927,0.92091,1.4632,0.0011288,0.0011288,0.0011288
90,240.616,0.97136,0.59633,1.00722,0.76075,0.85938,0.79044,0.39979,1.67455,0.98371,1.47664,0.0011189,0.0011189,0.0011189
91,243.2,0.93102,0.57469,0.99207,0.75493,0.85938,0.84457,0.44961,1.55745,0.94922,1.41687,0.001109,0.001109,0.001109
92,245.82,0.90194,0.58394,0.99212,0.83505,0.73438,0.8333,0.43052,1.61571,0.98905,1.4498,0.0010991,0.0010991,0.0010991
93,248.377,0.91767,0.57836,0.96671,0.87387,0.75,0.85552,0.45632,1.56707,0.98999,1.40996,0.0010892,0.0010892,0.0010892
94,250.986,0.94852,0.56715,0.98245,0.91645,0.76562,0.83007,0.46121,1.53347,0.98599,1.40322,0.0010793,0.0010793,0.0010793
95,253.587,0.90344,0.57673,1.00251,0.8451,0.78125,0.81458,0.43671,1.62736,0.95553,1.48515,0.0010694,0.0010694,0.0010694
96,256.237,0.9209,0.58319,0.98751,0.83444,0.78756,0.81995,0.43873,1.62586,1.00825,1.45078,0.0010595,0.0010595,0.0010595
97,258.944,0.86956,0.5649,0.97268,0.85115,0.80419,0.85611,0.44793,1.63334,0.97326,1.39663,0.0010496,0.0010496,0.0010496
98,261.645,0.9177,0.57349,0.97288,0.83242,0.75,0.81462,0.44533,1.56666,0.97346,1.3724,0.0010397,0.0010397,0.0010397
99,264.272,0.84563,0.54499,0.98315,0.8696,0.6875,0.79714,0.43607,1.54018,1.0059,1.37692,0.0010298,0.0010298,0.0010298
100,266.862,0.90601,0.575,0.98598,0.83951,0.78125,0.82737,0.42393,1.71083,0.92814,1.45522,0.0010199,0.0010199,0.0010199
101,269.736,0.83592,0.55327,0.94536,0.80043,0.75204,0.80138,0.42896,1.70774,0.95683,1.45926,0.00101,0.00101,0.00101
102,272.43,0.84015,0.56162,0.98054,0.80829,0.78125,0.78936,0.40103,1.70419,0.98058,1.51351,0.0010001,0.0010001,0.0010001
103,275.038,0.87069,0.55873,0.96627,0.80206,0.75,0.80162,0.39899,1.71007,0.9632,1.56566,0.0009902,0.0009902,0.0009902
104,277.673,0.88677,0.56512,1.00031,0.83973,0.81875,0.82311,0.40694,1.65196,0.90486,1.51757,0.0009803,0.0009803,0.0009803
